time_utc,rolling_variance,window_L
2026-03-08T00:00:00Z,,200
2026-03-08T00:01:00Z,,200
2026-03-08T00:02:00Z,,200
2026-03-08T00:03:00Z,,200
2026-03-08T00:04:00Z,,200
2026-03-08T00:05:00Z,,200
2026-03-08T00:06:00Z,,200
2026-03-08T00:07:00Z,,200
2026-03-08T00:08:00Z,,200
2026-03-08T00:09:00Z,,200
2026-03-08T00:10:00Z,,200
2026-03-08T00:11:00Z,,200
2026-03-08T00:12:00Z,,200
2026-03-08T00:13:00Z,,200
2026-03-08T00:14:00Z,,200
2026-03-08T00:15:00Z,,200
2026-03-08T00:16:00Z,,200
2026-03-08T00:17:00Z,,200
2026-03-08T00:18:00Z,,200
2026-03-08T00:19:00Z,,200
2026-03-08T00:20:00Z,,200
2026-03-08T00:21:00Z,,200
2026-03-08T00:22:00Z,,200
2026-03-08T00:23:00Z,,200
2026-03-08T00:24:00Z,,200
2026-03-08T00:25:00Z,,200
2026-03-08T00:26:00Z,,200
2026-03-08T00:27:00Z,,200
2026-03-08T00:28:00Z,,200
2026-03-08T00:29:00Z,,200
2026-03-08T00:30:00Z,,200
2026-03-08T00:31:00Z,,200
2026-03-08T00:32:00Z,,200
2026-03-08T00:33:00Z,,200
2026-03-08T00:34:00Z,,200
2026-03-08T00:35:00Z,,200
2026-03-08T00:36:00Z,,200
2026-03-08T00:37:00Z,,200
2026-03-08T00:38:00Z,,200
2026-03-08T00:39:00Z,,200
2026-03-08T00:40:00Z,,200
2026-03-08T00:41:00Z,,200
2026-03-08T00:42:00Z,,200
2026-03-08T00:43:00Z,,200
2026-03-08T00:44:00Z,,200
2026-03-08T00:45:00Z,,200
2026-03-08T00:46:00Z,,200
2026-03-08T00:47:00Z,,200
2026-03-08T00:48:00Z,,200
2026-03-08T00:49:00Z,,200
2026-03-08T00:50:00Z,,200
2026-03-08T00:51:00Z,,200
2026-03-08T00:52:00Z,,200
2026-03-08T00:53:00Z,,200
2026-03-08T00:54:00Z,,200
2026-03-08T00:55:00Z,,200
2026-03-08T00:56:00Z,,200
2026-03-08T00:57:00Z,,200
2026-03-08T00:58:00Z,,200
2026-03-08T00:59:00Z,,200
2026-03-08T01:00:00Z,,200
2026-03-08T01:01:00Z,,200
2026-03-08T01:02:00Z,,200
2026-03-08T01:03:00Z,,200
2026-03-08T01:04:00Z,,200
2026-03-08T01:05:00Z,,200
2026-03-08T01:06:00Z,,200
2026-03-08T01:07:00Z,,200
2026-03-08T01:08:00Z,,200
2026-03-08T01:09:00Z,,200
2026-03-08T01:10:00Z,,200
2026-03-08T01:11:00Z,,200
2026-03-08T01:12:00Z,,200
2026-03-08T01:13:00Z,,200
2026-03-08T01:14:00Z,,200
2026-03-08T01:15:00Z,,200
2026-03-08T01:16:00Z,,200
2026-03-08T01:17:00Z,,200
2026-03-08T01:18:00Z,,200
2026-03-08T01:19:00Z,,200
2026-03-08T01:20:00Z,,200
2026-03-08T01:21:00Z,,200
2026-03-08T01:22:00Z,,200
2026-03-08T01:23:00Z,,200
2026-03-08T01:24:00Z,,200
2026-03-08T01:25:00Z,,200
2026-03-08T01:26:00Z,,200
2026-03-08T01:27:00Z,,200
2026-03-08T01:28:00Z,,200
2026-03-08T01:29:00Z,,200
2026-03-08T01:30:00Z,,200
2026-03-08T01:31:00Z,,200
2026-03-08T01:32:00Z,,200
2026-03-08T01:33:00Z,,200
2026-03-08T01:34:00Z,,200
2026-03-08T01:35:00Z,,200
2026-03-08T01:36:00Z,,200
2026-03-08T01:37:00Z,,200
2026-03-08T01:38:00Z,,200
2026-03-08T01:39:00Z,,200
2026-03-08T01:40:00Z,,200
2026-03-08T01:41:00Z,,200
2026-03-08T01:42:00Z,,200
2026-03-08T01:43:00Z,,200
2026-03-08T01:44:00Z,,200
2026-03-08T01:45:00Z,,200
2026-03-08T01:46:00Z,,200
2026-03-08T01:47:00Z,,200
2026-03-08T01:48:00Z,,200
2026-03-08T01:49:00Z,,200
2026-03-08T01:50:00Z,,200
2026-03-08T01:51:00Z,,200
2026-03-08T01:52:00Z,,200
2026-03-08T01:53:00Z,,200
2026-03-08T01:54:00Z,,200
2026-03-08T01:55:00Z,,200
2026-03-08T01:56:00Z,,200
2026-03-08T01:57:00Z,,200
2026-03-08T01:58:00Z,,200
2026-03-08T01:59:00Z,,200
2026-03-08T02:00:00Z,,200
2026-03-08T02:01:00Z,,200
2026-03-08T02:02:00Z,,200
2026-03-08T02:03:00Z,,200
2026-03-08T02:04:00Z,,200
2026-03-08T02:05:00Z,,200
2026-03-08T02:06:00Z,,200
2026-03-08T02:07:00Z,,200
2026-03-08T02:08:00Z,,200
2026-03-08T02:09:00Z,,200
2026-03-08T02:10:00Z,,200
2026-03-08T02:11:00Z,,200
2026-03-08T02:12:00Z,,200
2026-03-08T02:13:00Z,,200
2026-03-08T02:14:00Z,,200
2026-03-08T02:15:00Z,,200
2026-03-08T02:16:00Z,,200
2026-03-08T02:17:00Z,,200
2026-03-08T02:18:00Z,,200
2026-03-08T02:19:00Z,,200
2026-03-08T02:20:00Z,,200
2026-03-08T02:21:00Z,,200
2026-03-08T02:22:00Z,,200
2026-03-08T02:23:00Z,,200
2026-03-08T02:24:00Z,,200
2026-03-08T02:25:00Z,,200
2026-03-08T02:26:00Z,,200
2026-03-08T02:27:00Z,,200
2026-03-08T02:28:00Z,,200
2026-03-08T02:29:00Z,,200
2026-03-08T02:30:00Z,,200
2026-03-08T02:31:00Z,,200
2026-03-08T02:32:00Z,,200
2026-03-08T02:33:00Z,,200
2026-03-08T02:34:00Z,,200
2026-03-08T02:35:00Z,,200
2026-03-08T02:36:00Z,,200
2026-03-08T02:37:00Z,,200
2026-03-08T02:38:00Z,,200
2026-03-08T02:39:00Z,,200
2026-03-08T02:40:00Z,,200
2026-03-08T02:41:00Z,,200
2026-03-08T02:42:00Z,,200
2026-03-08T02:43:00Z,,200
2026-03-08T02:44:00Z,,200
2026-03-08T02:45:00Z,,200
2026-03-08T02:46:00Z,,200
2026-03-08T02:47:00Z,,200
2026-03-08T02:48:00Z,,200
2026-03-08T02:49:00Z,,200
2026-03-08T02:50:00Z,,200
2026-03-08T02:51:00Z,,200
2026-03-08T02:52:00Z,,200
2026-03-08T02:53:00Z,,200
2026-03-08T02:54:00Z,,200
2026-03-08T02:55:00Z,,200
2026-03-08T02:56:00Z,,200
2026-03-08T02:57:00Z,,200
2026-03-08T02:58:00Z,,200
2026-03-08T02:59:00Z,,200
2026-03-08T03:00:00Z,,200
2026-03-08T03:01:00Z,,200
2026-03-08T03:02:00Z,,200
2026-03-08T03:03:00Z,,200
2026-03-08T03:04:00Z,,200
2026-03-08T03:05:00Z,,200
2026-03-08T03:06:00Z,,200
2026-03-08T03:07:00Z,,200
2026-03-08T03:08:00Z,,200
2026-03-08T03:09:00Z,,200
2026-03-08T03:10:00Z,,200
2026-03-08T03:11:00Z,,200
2026-03-08T03:12:00Z,,200
2026-03-08T03:13:00Z,,200
2026-03-08T03:14:00Z,,200
2026-03-08T03:15:00Z,,200
2026-03-08T03:16:00Z,,200
2026-03-08T03:17:00Z,,200
2026-03-08T03:18:00Z,,200
2026-03-08T03:19:00Z,7.707159851759998e-19,200
2026-03-08T03:20:00Z,7.801827791400892e-19,200
2026-03-08T03:21:00Z,7.791739210122525e-19,200
2026-03-08T03:22:00Z,7.82790590738121e-19,200
2026-03-08T03:23:00Z,7.843183989092008e-19,200
2026-03-08T03:24:00Z,7.816383103145465e-19,200
2026-03-08T03:25:00Z,7.835269108390518e-19,200
2026-03-08T03:26:00Z,7.765232712502984e-19,200
2026-03-08T03:27:00Z,7.775780607042624e-19,200
2026-03-08T03:28:00Z,7.779114168506832e-19,200
2026-03-08T03:29:00Z,7.795094580924201e-19,200
2026-03-08T03:30:00Z,7.784636087418648e-19,200
2026-03-08T03:31:00Z,7.822870762800002e-19,200
2026-03-08T03:32:00Z,7.725197889076625e-19,200
2026-03-08T03:33:00Z,7.6879208818572845e-19,200
2026-03-08T03:34:00Z,7.77274950694947e-19,200
2026-03-08T03:35:00Z,7.882731349418114e-19,200
2026-03-08T03:36:00Z,7.848697297278093e-19,200
2026-03-08T03:37:00Z,7.8663406672223225e-19,200
2026-03-08T03:38:00Z,7.877305357490344e-19,200
2026-03-08T03:39:00Z,7.78635711213568e-19,200
2026-03-08T03:40:00Z,1.2608896893490832e-15,200
2026-03-08T03:41:00Z,2.1278523133647888e-15,200
2026-03-08T03:42:00Z,2.8472504651693824e-15,200
2026-03-08T03:43:00Z,3.5287982204908304e-15,200
2026-03-08T03:44:00Z,3.885066157558951e-15,200
2026-03-08T03:45:00Z,4.2963894831688634e-15,200
2026-03-08T03:46:00Z,4.603753693219474e-15,200
2026-03-08T03:47:00Z,4.895908167859693e-15,200
2026-03-08T03:48:00Z,5.029659967078035e-15,200
2026-03-08T03:49:00Z,5.189874065240414e-15,200
2026-03-08T03:50:00Z,5.190220949442738e-15,200
2026-03-08T03:51:00Z,5.190479617089973e-15,200
2026-03-08T03:52:00Z,5.1904522272807856e-15,200
2026-03-08T03:53:00Z,5.1905840303225014e-15,200
2026-03-08T03:54:00Z,5.190654103600933e-15,200
2026-03-08T03:55:00Z,5.1908641931480766e-15,200
2026-03-08T03:56:00Z,5.190837471014789e-15,200
2026-03-08T03:57:00Z,5.1910151775346706e-15,200
2026-03-08T03:58:00Z,5.191135560079304e-15,200
2026-03-08T03:59:00Z,5.1911161349206995e-15,200
2026-03-08T04:00:00Z,5.191248937674262e-15,200
2026-03-08T04:01:00Z,5.1909866247517725e-15,200
2026-03-08T04:02:00Z,5.19084435998452e-15,200
2026-03-08T04:03:00Z,5.190546642140836e-15,200
2026-03-08T04:04:00Z,5.190483932377222e-15,200
2026-03-08T04:05:00Z,5.190254780825757e-15,200
2026-03-08T04:06:00Z,5.190185718487914e-15,200
2026-03-08T04:07:00Z,5.19012838838132e-15,200
2026-03-08T04:08:00Z,5.190111892529054e-15,200
2026-03-08T04:09:00Z,5.190143470634895e-15,200
2026-03-08T04:10:00Z,5.190169719550858e-15,200
2026-03-08T04:11:00Z,5.189912755264369e-15,200
2026-03-08T04:12:00Z,5.1900103328924706e-15,200
2026-03-08T04:13:00Z,5.190227611799776e-15,200
2026-03-08T04:14:00Z,5.190072425510273e-15,200
2026-03-08T04:15:00Z,5.189900271596544e-15,200
2026-03-08T04:16:00Z,5.1899498158557215e-15,200
2026-03-08T04:17:00Z,5.190194717755905e-15,200
2026-03-08T04:18:00Z,5.190144056623409e-15,200
2026-03-08T04:19:00Z,5.189890399911604e-15,200
2026-03-08T04:20:00Z,5.189937452712859e-15,200
2026-03-08T04:21:00Z,5.1898300535820085e-15,200
2026-03-08T04:22:00Z,5.1899191820730924e-15,200
2026-03-08T04:23:00Z,5.190171642510555e-15,200
2026-03-08T04:24:00Z,5.190175663339733e-15,200
2026-03-08T04:25:00Z,5.190208296464296e-15,200
2026-03-08T04:26:00Z,5.190024949100222e-15,200
2026-03-08T04:27:00Z,5.189574660614687e-15,200
2026-03-08T04:28:00Z,5.189414208218428e-15,200
2026-03-08T04:29:00Z,5.189545523634178e-15,200
2026-03-08T04:30:00Z,5.494009898267433e-15,200
2026-03-08T04:31:00Z,5.6704809956233946e-15,200
2026-03-08T04:32:00Z,5.852640086544629e-15,200
2026-03-08T04:33:00Z,6.022388152438149e-15,200
2026-03-08T04:34:00Z,6.09336794751347e-15,200
2026-03-08T04:35:00Z,6.14257772125745e-15,200
2026-03-08T04:36:00Z,6.174856264410163e-15,200
2026-03-08T04:37:00Z,6.203945036921639e-15,200
2026-03-08T04:38:00Z,6.203939836173778e-15,200
2026-03-08T04:39:00Z,6.203695419660431e-15,200
2026-03-08T04:40:00Z,6.203591795590605e-15,200
2026-03-08T04:41:00Z,6.203633185360531e-15,200
2026-03-08T04:42:00Z,6.203600119828719e-15,200
2026-03-08T04:43:00Z,6.2040237653609736e-15,200
2026-03-08T04:44:00Z,6.203963104156446e-15,200
2026-03-08T04:45:00Z,6.20350340230725e-15,200
2026-03-08T04:46:00Z,6.20359999743624e-15,200
2026-03-08T04:47:00Z,6.2038893965614595e-15,200
2026-03-08T04:48:00Z,6.203657350133441e-15,200
2026-03-08T04:49:00Z,6.203495222391014e-15,200
2026-03-08T04:50:00Z,6.203571165647053e-15,200
2026-03-08T04:51:00Z,6.203476641031688e-15,200
2026-03-08T04:52:00Z,6.2035783813699374e-15,200
2026-03-08T04:53:00Z,6.203688921161653e-15,200
2026-03-08T04:54:00Z,6.2032249124127024e-15,200
2026-03-08T04:55:00Z,6.203109426480283e-15,200
2026-03-08T04:56:00Z,6.203482843745018e-15,200
2026-03-08T04:57:00Z,6.203844638812104e-15,200
2026-03-08T04:58:00Z,6.204447845353135e-15,200
2026-03-08T04:59:00Z,6.204433516997454e-15,200
